Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_002355375.1	ASM235537v1	Aneurinibacillus soli	1500254		CB4					GCF_002355375.1-RS_2024_12_13	1	1	Complete Genome	13.01.2016		1
GCF_036885195.1	ASM3688519v1	Pectobacterium cacticida	69221		CFBP3628					GCF_036885195.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_032598785.1	ASM3259878v1	Terrisporobacter petrolearius	1460447		JCM 19845					GCF_032598785.1-RS_2025_02_27	3	3	Complete Genome	12.10.2023		3
GCF_005952805.1	ASM595280v1	Inhella inkyongensis	392593		IMCC1713					GCF_005952805.1-RS_2024_09_19	1	1	Complete Genome	04.06.2019		1
GCF_002096055.1	ASM209605v1	Cnuibacter physcomitrellae	1619308		XA(T)					GCF_002096055.1-RS_2025_03_28	3	3	Complete Genome	18.04.2017		3
GCF_011046555.1	ASM1104655v1	Sphingobacterium lactis	797291		DSM 22361					GCF_011046555.1-RS_2025_04_01	1	1	Complete Genome	02.03.2020		1
GCF_038023995.1	ASM3802399v1	Polaribacter atrinae	1333662		JCM 19202					GCF_038023995.1-RS_2025_04_08	1	1	Complete Genome	09.04.2024		1
GCF_002847445.1	ASM284744v1	Paracoccus zhejiangensis	1077935		J6					GCF_002847445.1-RS_2024_12_13	5	5	Complete Genome	27.12.2017		5
GCF_002407065.1	ASM240706v1	Brachybacterium ginsengisoli	1331682		DCY80					GCF_002407065.1-RS_2024_12_09	1	1	Complete Genome	02.10.2017		1
GCF_026409565.1	ASM2640956v1	Sneathiella aquimaris	2599305		216LB-ZA1-12					GCF_026409565.1-RS_2024_12_09	1	1	Complete Genome	26.11.2022		1
GCF_001940525.2	ASM194052v2	Thioclava nitratireducens	1915078		25B10_4					GCF_001940525.2-RS_2025_04_22	3	3	Complete Genome	21.02.2017		3
GCF_026013645.1	ASM2601364v1	Virgibacillus natechei	1216297		DSM 25609					GCF_026013645.1-RS_2024_11_26	1	1	Complete Genome	06.11.2022		1
GCF_001414055.1	ASM141405v1	Caulobacter henricii	69395		CB4					GCF_001414055.1-RS_2025_03_03	2	2	Complete Genome	26.10.2015		2
GCF_000189295.2	ASM18929v2	Pseudodesulfovibrio mercurii	641491		ND132					GCF_000189295.2-RS_2025_03_27	1	1	Complete Genome	29.12.2011		1
GCF_019915265.1	ASM1991526v1	Bacillus aquiflavi	2672567		3H-10					GCF_019915265.1-RS_2024_10_23	1	1	Complete Genome	09.09.2021		1
GCF_014784055.1	ASM1478405v1	Polaribacter haliotis	1888915		KCTC 52418					GCF_014784055.1-RS_2024_07_25	1	1	Complete Genome	29.09.2020		1
GCF_004135285.1	ASM413528v1	Microbacterium protaetiae	2509458		DFW100M-13					GCF_004135285.1-RS_2025_04_08	1	1	Complete Genome	03.02.2019		1
GCF_001922305.1	ASM192230v1	Thauera chlorobenzoica	96773		3CB1					GCF_001922305.1-RS_2024_12_13	1	1	Complete Genome	27.12.2016		1
GCF_027925385.1	ASM2792538v1	Methylocystis iwaonis	2885079		SS37A-Re					GCF_027925385.1-RS_2024_06_24	7	7	Complete Genome	11.01.2023		7
GCF_003590145.2	ASM359014v2	Pseudooceanicola algae	1537215		Lw-13e					GCF_003590145.2-RS_2024_12_11	4	4	Complete Genome	07.12.2020		4
GCF_001402875.1	ASM140287v1	Blastochloris viridis	1079		ATCC 19567					GCF_001402875.1-RS_2025_03_03	1	1	Complete Genome	22.10.2015		1
GCF_003355475.1	ASM335547v1	Brachybacterium saurashtrense	556288		DSM 23186					GCF_003355475.1-RS_2025_04_27	1	1	Complete Genome	06.08.2018		1
GCF_008932245.1	ASM893224v1	Sinorhizobium alkalisoli	1752398		YIC4027					GCF_008932245.1-RS_2025_05_13	3	3	Complete Genome	09.10.2019		3
GCF_004135405.1	ASM413540v1	Agromyces protaetiae	2509455		FW100M-8					GCF_004135405.1-RS_2025_04_19	1	1	Complete Genome	03.02.2019		1
GCF_001187785.1	ASM118778v1	Wenzhouxiangella marina	1579979		KCTC 42284					GCF_001187785.1-RS_2025_05_02	1	1	Complete Genome	28.07.2015		1
GCF_002157205.1	ASM215720v1	Kushneria marisflavi	157779		SW32					GCF_002157205.1-RS_2024_12_09	1	1	Complete Genome	24.05.2017		1
GCF_028553785.1	ASM2855378v1	Paracoccus fistulariae	658446		KCTC 22803					GCF_028553785.1-RS_2025_03_11	4	4	Complete Genome	08.02.2023		4
GCF_034479555.1	ASM3447955v1	Chromohalobacter canadensis	141389		ATCC 43984					GCF_034479555.1-RS_2024_12_09	1	1	Complete Genome	19.12.2023		1
GCF_030406665.1	ASM3040666v1	Halomonas halophila	29573		CCM 3662					GCF_030406665.1-RS_2024_12_09	1	1	Complete Genome	05.07.2023		1
GCF_008630635.1	ASM863063v1	Neptunomonas concharum	1031538		JCM17730					GCF_008630635.1-RS_2025_03_28	1	1	Complete Genome	21.09.2019		1
GCF_028553725.1	ASM2855372v1	Paracoccus alcaliphilus	34002		TK 1015 = DSM 8512					GCF_028553725.1-RS_2025_03_11	5	5	Complete Genome	08.02.2023		5
GCF_022869165.1	ASM2286916v1	Sphaerochaeta associata	1129264		GLS2T					GCF_022869165.1-RS_2025_04_26	1	1	Complete Genome	10.04.2022		1
GCF_001028705.1	ASM102870v1	Croceicoccus naphthovorans	1348774		PQ-2					GCF_001028705.1-RS_2025_05_02	3	3	Complete Genome	12.06.2015		3
GCF_014681765.1	ASM1468176v1	Roseicitreum antarcticum	564137		ZS2-28					GCF_014681765.1-RS_2024_11_06	5	5	Complete Genome	22.09.2020		5
GCF_002221505.1	ASM222150v1	Pseudoalteromonas nigrifaciens	28109		KMM 661					GCF_002221505.1-RS_2025_04_22	3	3	Complete Genome	19.07.2017		3
GCF_003966975.1	ASM396697v1	Pelolinea submarina	913107		MO-CFX1					GCF_003966975.1-RS_2024_12_13	1	1	Complete Genome	10.08.2018		1
GCF_021173085.1	ASM2117308v1	Ralstonia wenshanensis	2842456		56D2					GCF_021173085.1-RS_2025_04_29	2	2	Complete Genome	13.12.2021		2
GCF_002009235.1	ASM200923v1	Planococcus faecalis	1598147		AJ003					GCF_002009235.1-RS_2025_05_03	1	1	Complete Genome	02.03.2017		1
GCF_001465835.2	ASM146583v2	Planococcus kocurii	1374		ATCC 43650					GCF_001465835.2-RS_2025_03_03	2	2	Complete Genome	29.01.2016		2
GCF_006337125.1	ASM633712v1	Serinicoccus chungangensis	767452		CCUG 59777					GCF_006337125.1-RS_2025_03_29	1	1	Complete Genome	13.06.2019		1
GCF_000953655.1	LHA	Legionella hackeliae	449		ATCC 35250					GCF_000953655.1-RS_2024_12_11	2	2	Complete Genome	09.12.2014		2
GCF_028607105.1	ASM2860710v1	Novosphingobium humi	2282397		KACC 19094					GCF_028607105.1-RS_2025_03_24	4	4	Complete Genome	13.02.2023		4
GCF_001547935.1	ASM154793v1	Vibrio tritonius	1435069		AM2					GCF_001547935.1-RS_2024_12_11	2	2	Complete Genome	11.09.2015		2
GCF_001974985.1	ASM197498v1	Microbacterium aurum	36805		KACC 15219					GCF_001974985.1-RS_2025_03_28	1	1	Complete Genome	30.01.2017		1
GCF_017161425.1	ASM1716142v1	Marinicauda algicola	2029849		RMAR8-3					GCF_017161425.1-RS_2025_03_30	1	1	Complete Genome	03.03.2021		1
GCF_001008165.2	ASM100816v2	Croceibacterium atlanticum	1267766		26DY36					GCF_001008165.2-RS_2025_04_26	2	2	Complete Genome	18.08.2015		2
GCF_018798885.1	ASM1879888v1	Gemmobacter fulvus	2840474		con5					GCF_018798885.1-RS_2024_08_26	7	7	Complete Genome	09.06.2021		7
GCF_011046895.1	ASM1104689v1	Rhizobium rhizoryzae	451876		DSM 29514					GCF_011046895.1-RS_2025_05_05	6	6	Complete Genome	02.03.2020		6
GCF_010450875.1	ASM1045087v1	Sphingomonas insulae	424800		KCTC 12872					GCF_010450875.1-RS_2025_03_30	5	5	Complete Genome	12.02.2020		5
GCF_002804065.1	ASM280406v1	Kyrpidia spormannii	2055160		EA-1					GCF_002804065.1-RS_2024_12_11	1	1	Complete Genome	04.12.2017		1
GCF_012848855.1	ASM1284885v1	Pyruvatibacter mobilis	1712261		CGMCC 1.15125					GCF_012848855.1-RS_2025_05_05	1	1	Complete Genome	27.04.2020		1
GCF_002504165.1	ASM250416v1	Pacificitalea manganoxidans	1411902		DY25					GCF_002504165.1-RS_2024_12_13	8	8	Complete Genome	10.10.2017		8
GCF_001455205.1	ASM145520v1	Nitrosomonas ureae	44577		Nm10					GCF_001455205.1-RS_2025_03_03	1	1	Complete Genome	02.12.2015		1
GCF_001688845.2	ASM168884v2	Muribaculum intestinale	1796646		YL27					GCF_001688845.2-RS_2025_01_08	1	1	Complete Genome	05.04.2017		1
GCF_004135935.1	ASM413593v1	Methylovirgula ligni	569860		BW863					GCF_004135935.1-RS_2025_05_01	1	1	Complete Genome	04.02.2019		1
GCF_900638245.1	56772_F02	Kaistella jeonii	266749		NCTC13459					GCF_900638245.1-RS_2024_12_11	1	1	Complete Genome	20.12.2018		1
GCF_001507665.1	ASM150766v1	Deinococcus actinosclerus	1768108		BM2					GCF_001507665.1-RS_2025_03_03	1	1	Complete Genome	08.01.2016		1
GCF_000024825.1	ASM2482v1	Vibrio antiquarius	150340		EX25					GCF_000024825.1-RS_2025_04_22	2	2	Complete Genome	03.11.2009		2
GCF_025758395.1	ASM2575839v1	Microbacterium terricola	344163		JCM 14903					GCF_025758395.1-RS_2024_11_18	1	1	Complete Genome	19.10.2022		1
GCF_001187845.1	ASM118784v1	Octadecabacter temperatus	1458307		SB1					GCF_001187845.1-RS_2025_04_26	2	2	Complete Genome	28.07.2015		2
GCF_001997295.1	ASM199729v1	Tessaracoccus flavus	1610493		RP1					GCF_001997295.1-RS_2025_03_05	1	1	Complete Genome	14.02.2017		1
GCF_009938225.1	ASM993822v1	Vibrio ponticus	265668		DSM 16217					GCF_009938225.1-RS_2024_12_13	3	3	Complete Genome	06.01.2020		3
GCF_010669145.1	ASM1066914v1	Rhizobium oryzihabitans	2267833		M15					GCF_010669145.1-RS_2025_05_05	9	9	Complete Genome	17.02.2020		9
GCF_900637895.1	52700_G01	Kaistella antarctica	266748		NCTC13489					GCF_900637895.1-RS_2024_12_11	1	1	Complete Genome	20.12.2018		1
GCF_000260985.4	ASM26098v3	Methylophaga nitratireducenticrescens	754476		JAM1					GCF_000260985.4-RS_2024_12_11	1	1	Complete Genome	27.06.2017		1
GCF_900637635.1	52313_A01	Legionella jordanis	456		NCTC11533					GCF_900637635.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_004011095.1	ASM401109v1	Rathayibacter rathayi	33887		DSM 7485					GCF_004011095.1-RS_2025_04_02	1	1	Complete Genome	10.01.2019		1
GCF_010509575.1	ASM1050957v1	Faecalibacterium duncaniae	411483		JCM 31915					GCF_010509575.1-RS_2025_04_30	1	1	Complete Genome	13.02.2020		1
GCF_001308265.1	ASM130826v1	Celeribacter marinus	1397108		IMCC12053					GCF_001308265.1-RS_2025_03_03	1	1	Complete Genome	08.10.2015		1
GCF_006459125.1	ASM645912v1	Halarcobacter anaerophilus	877500		DSM 24636					GCF_006459125.1-RS_2024_12_09	1	1	Complete Genome	25.06.2019		1
GCF_002278075.1	ASM227807v1	Paraburkholderia aromaticivorans	2026199		BN5					GCF_002278075.1-RS_2025_04_22	8	8	Complete Genome	30.08.2017		8
GCF_003344925.1	ASM334492v1	Flavobacterium arcticum	1784713		SM1502					GCF_003344925.1-RS_2024_10_23	1	1	Complete Genome	30.07.2018		1
GCF_014898175.1	ASM1489817v1	Bifidobacterium lemurum	1603886		DSM 28807					GCF_014898175.1-RS_2025_03_29	1	1	Complete Genome	20.10.2020		1
GCF_000242915.1	ASM24291v2	Sulfurimonas gotlandica GD1	929558		GD1					GCF_000242915.1-RS_2025_05_27	1	1	Complete Genome	18.01.2012	AFRZ01	1
GCF_011047135.1	ASM1104713v1	Microbacterium endophyticum	1526412		DSM 27099					GCF_011047135.1-RS_2025_04_01	1	1	Complete Genome	02.03.2020		1
GCF_001028625.1	ASM102862v1	Pelagerythrobacter marensis	543877		KCTC 22370					GCF_001028625.1-RS_2025_03_29	1	1	Complete Genome	12.06.2015		1
GCF_002117085.1	ASM211708v1	Nonlabens tegetincola	323273		NBRC 100970					GCF_002117085.1-RS_2024_10_22	1	1	Complete Genome	02.05.2017		1
GCF_001634285.1	ASM163428v1	Anoxybacteroides amylolyticum	294699		DSM 15939					GCF_001634285.1-RS_2024_12_29	3	3	Complete Genome	29.04.2016		3
GCF_002356555.2	HH1059_assembly_1.0	Halorhodospira halochloris	1052		DSM 1059					GCF_002356555.2-RS_2025_03_28	1	1	Complete Genome	22.05.2018		1
GCF_004293625.1	ASM429362v1	Thiomicrorhabdus indica	2267253		13-15A					GCF_004293625.1-RS_2025_03_28	1	1	Complete Genome	22.02.2019		1
GCF_003589745.1	ASM358974v1	Lachnoanaerobaculum umeaense	617123		DSM 23576 = CCUG 58757					GCF_003589745.1-RS_2024_12_13	1	1	Complete Genome	23.09.2018		1
GCF_963243745.1	LzLMG22198_assembly	Levilactobacillus zymae	267363		LMG 22198					GCF_963243745.1-RS_2024_12_02	1	1	Complete Genome	20.11.2024		1
GCF_028553745.1	ASM2855374v1	Paracoccus seriniphilus	184748		DSM 14827					GCF_028553745.1-RS_2025_03_11	5	5	Complete Genome	08.02.2023		5
GCF_001941465.1	ASM194146v1	Corynebacterium flavescens	28028		OJ8					GCF_001941465.1-RS_2024_07_15	1	1	Complete Genome	10.01.2017		1
GCF_008838325.1	ASM883832v1	Tepidiforma bonchosmolovskayae	2601677		3753O					GCF_008838325.1-RS_2024_11_18	1	1	Complete Genome	04.10.2019		1
GCF_003606365.2	ASM360636v2	Companilactobacillus zhachilii	2304606		HBUAS52074					GCF_003606365.2-RS_2025_03_30	1	1	Complete Genome	29.01.2019		1
GCF_028743495.1	ASM2874349v1	Allobacillus halotolerans	570278		BCRC 17939					GCF_028743495.1-RS_2025_03_26	1	1	Complete Genome	20.02.2023		1
GCF_028609865.1	ASM2860986v1	Corynebacterium jeddahense	1414719		DSM 45997					GCF_028609865.1-RS_2025_03_24	1	1	Complete Genome	13.02.2023		1
GCF_011046975.1	ASM1104697v1	Microbacterium amylolyticum	936337		DSM 24221					GCF_011046975.1-RS_2025_04_01	2	2	Complete Genome	02.03.2020		2
GCF_019048165.1	ASM1904816v1	Corynebacterium coyleae	53374		FDAARGOS 1425					GCF_019048165.1-RS_2024_07_20	1	1	Complete Genome	28.06.2021		1
GCF_001971585.1	ASM197158v1	Companilactobacillus allii	1847728		WiKim39					GCF_001971585.1-RS_2025_03_05	2	2	Complete Genome	26.01.2017		2
GCF_016889465.1	ASM1688946v1	Corynebacterium macginleyi	38290		FDAARGOS_1195					GCF_016889465.1-RS_2025_03_28	1	1	Complete Genome	15.02.2021		1
GCF_902702935.1	FRC0190	Corynebacterium rouxii	2719119		FRC0190					GCF_902702935.1-RS_2024_12_13	1	1	Complete Genome	25.11.2019		1
GCF_001643775.1	ASM164377v1	Denitrobacterium detoxificans	79604		NPOH1					GCF_001643775.1-RS_2025_03_29	1	1	Complete Genome	16.05.2016		1
GCF_900187165.1	52121_G02	Clostridium cochlearium	1494		NCTC13027					GCF_900187165.1-RS_2025_04_01	1	1	Complete Genome	15.08.2017		1
GCF_000763575.1	ASM76357v1	Thermoanaerobacter kivui	2325		LKT-1					GCF_000763575.1-RS_2024_12_09	1	1	Complete Genome	06.10.2014		1
GCF_002119805.1	ASM211980v1	Macrococcoides canis	1855823		KM 45013					GCF_002119805.1-RS_2024_12_22	1	1	Complete Genome	09.05.2017		1
GCF_028609845.1	ASM2860984v1	Corynebacterium heidelbergense	2055947		DSM 104638					GCF_028609845.1-RS_2025_03_24	2	2	Complete Genome	13.02.2023		2
GCF_013201705.1	ASM1320170v1	Aliarcobacter faecis	1564138		CCUG 66484					GCF_013201705.1-RS_2024_12_09	2	2	Complete Genome	01.06.2020		2
GCF_016767175.1	ASM1676717v1	Keratinibaculum paraultunense	1278232		KD-1					GCF_016767175.1-RS_2025_03_23	1	1	Complete Genome	28.01.2021		1
GCF_011207455.1	ASM1120745v1	Thermosulfuriphilus ammonigenes	1936021		ST65					GCF_011207455.1-RS_2025_05_05	1	1	Complete Genome	12.03.2020		1
GCF_028609825.1	ASM2860982v1	Corynebacterium ihumii	1232427		DSM 45751					GCF_028609825.1-RS_2025_03_24	1	1	Complete Genome	13.02.2023		1
GCF_001636015.1	ASM163601v1	Moraxella ovis	29433		199/55					GCF_001636015.1-RS_2024_12_09	2	2	Complete Genome	02.05.2016		2
GCF_017310505.1	ASM1731050v1	Methylacidiphilum caldifontis	2795386		IT6					GCF_017310505.1-RS_2024_10_11	1	1	Complete Genome	09.03.2021		1
GCF_008806995.1	ASM880699v1	Neisseria animalis	492		ATCC 49930					GCF_008806995.1-RS_2025_04_27	1	1	Complete Genome	03.10.2019		1
GCF_003574215.1	ASM357421v1	Hydrogenophilus thermoluteolus	297		TH-1					GCF_003574215.1-RS_2024_12_13	2	2	Complete Genome	21.06.2018		2
GCF_002211785.1	ASM221178v1	Francisella halioticida	549298		DSM 23729					GCF_002211785.1-RS_2025_03_28	1	1	Complete Genome	30.06.2017		1
GCF_014541205.1	ASM1454120v1	Mannheimia bovis	2770636		ZY190616					GCF_014541205.1-RS_2025_04_20	1	1	Complete Genome	15.09.2020		1
GCF_020889625.1	ASM2088962v1	Deinococcus radiophilus	32062		ATCC 27603					GCF_020889625.1-RS_2024_12_09	7	7	Complete Genome	19.11.2021		7
GCF_011455495.1	ASM1145549v1	Frederiksenia canicola	123824		HPA 21					GCF_011455495.1-RS_2025_03_08	1	1	Complete Genome	19.03.2020		1
GCF_002005405.1	ASM200540v1	Jeotgalibaca dankookensis	708126		EX-07					GCF_002005405.1-RS_2025_03_05	2	2	Complete Genome	21.02.2017		2
GCF_000785105.2	ASM78510v2	Lentilactobacillus curieae	1138822		CCTCC M 2011381					GCF_000785105.2-RS_2025_03_05	1	1	Complete Genome	03.03.2017		1
GCF_003290445.1	ASM329044v1	Francisella adeliensis	2007306		FDC440					GCF_003290445.1-RS_2025_04_27	1	1	Complete Genome	09.07.2018		1
GCF_004299785.2	ASM429978v2	Arcobacter porcinus	1935204		CCUG 56899					GCF_004299785.2-RS_2025_05_21	1	1	Complete Genome	13.09.2019		1
GCF_029632765.1	ASM2963276v1	Arcanobacterium wilhelmae	1803177		DSM 102162					GCF_029632765.1-RS_2025_04_10	1	1	Complete Genome	10.04.2023		1
GCF_002278035.1	ASM227803v1	Ochrobactrum quorumnocens	271865		A44					GCF_002278035.1-RS_2024_06_23	4	4	Complete Genome	30.08.2017		4
GCF_000743945.1	ASM74394v1	Basilea psittacipulmonis DSM 24701	1072685		DSM 24701					GCF_000743945.1-RS_2024_10_16	1	1	Complete Genome	27.08.2014		1
GCF_013177655.1	ASM1317765v1	Campylobacter canadensis	449520		LMG 24001					GCF_013177655.1-RS_2025_04_27	1	1	Complete Genome	27.05.2020		1
GCF_001602095.1	ASM160209v1	Helicobacter himalayensis	1591088		YS1					GCF_001602095.1-RS_2025_03_03	1	1	Complete Genome	30.03.2016		1
GCF_005083985.2	ASM508398v2	Caminibacter pacificus	1424653		TB6					GCF_005083985.2-RS_2025_03_29	2	2	Complete Genome	20.06.2019		2
GCF_013372205.1	ASM1337220v1	Campylobacter mucosalis	202		ATCC 43264					GCF_013372205.1-RS_2025_04_27	1	1	Complete Genome	24.06.2020		1
GCF_000737865.1	ASM73786v1	Bifidobacterium coryneforme	1687		LMG18911					GCF_000737865.1-RS_2025_03_27	1	1	Complete Genome	05.08.2014		1
GCF_012222965.1	ASM1222296v1	Allofrancisella inopinata	1085647		SYSU YG23					GCF_012222965.1-RS_2025_04_27	1	1	Complete Genome	09.04.2020		1
GCF_001989575.1	ASM198957v1	Abyssicoccus albus	1817405		S31					GCF_001989575.1-RS_2024_12_11	1	1	Complete Genome	07.02.2017		1
GCF_000736415.1	ASM73641v1	Campylobacter iguaniorum	1244531		1485E					GCF_000736415.1-RS_2024_12_09	2	2	Complete Genome	30.07.2014		2
GCF_013201645.1	ASM1320164v1	Campylobacter corcagiensis	1448857		LMG 27932					GCF_013201645.1-RS_2025_04_27	2	2	Complete Genome	01.06.2020		2
GCF_013201605.1	ASM1320160v1	Campylobacter ornithocola	1848766		LMG 29815					GCF_013201605.1-RS_2025_05_05	1	1	Complete Genome	01.06.2020		1
GCF_013372105.1	ASM1337210v1	Campylobacter armoricus	2505970		CCUG 73571					GCF_013372105.1-RS_2025_04_27	1	1	Complete Genome	24.06.2020		1
GCF_002355535.1	ASM235553v1	Aurantimicrobium minutum	708131		KNC					GCF_002355535.1-RS_2025_04_29	1	1	Complete Genome	12.05.2016		1
GCF_002795265.1	ASM279526v1	Spiroplasma clarkii	2139		CN-5					GCF_002795265.1-RS_2025_04_27	1	1	Complete Genome	23.11.2017		1
GCF_019357495.1	ASM1935749v1	Nosocomiicoccus ampullae	489910		DSM 19163					GCF_019357495.1-RS_2025_03_30	2	2	Complete Genome	27.07.2021		2
GCF_008245045.1	ASM824504v1	Campylobacter volucris	1031542		LMG 24380					GCF_008245045.1-RS_2025_04_27	2	2	Complete Genome	03.09.2019		2
GCF_001293165.1	ASM129316v1	Candidatus Thioglobus autotrophicus	1705394		EF1					GCF_001293165.1-RS_2025_03_03	1	1	Complete Genome	17.09.2015		1
GCF_000402035.1	ASM40203v1	Caballeronia insecticola	758793		RPE64					GCF_000402035.1-RS_2024_12_13	5	5	Complete Genome	21.05.2013		5
GCF_001854225.1	ASM185422v1	Candidatus Rhodoluna planktonica	535712		MWH-Dar1					GCF_001854225.1-RS_2025_03_05	1	1	Complete Genome	26.10.2016		1
GCF_001262715.1	ASM126271v1	Spiroplasma turonicum	216946		Tab4c					GCF_001262715.1-RS_2025_03_28	1	1	Complete Genome	07.08.2015		1
GCF_000941075.1	ASM94107v1	Mesomycoplasma dispar	86660		ATCC 27140					GCF_000941075.1-RS_2024_12_13	1	1	Complete Genome	04.03.2015		1
GCF_900660495.1	50648_F01-3	Mycoplasmopsis gallinacea	29556		NCTC10183					GCF_900660495.1-RS_2024_12_13	1	1	Complete Genome	29.01.2019		1
GCF_024918975.1	ASM2491897v1	Mycoplasma cottewii	51364		VIS					GCF_024918975.1-RS_2024_09_20	1	1	Complete Genome	04.09.2022		1
GCF_033546915.1	ASM3354691v1	Mycoplasmopsis verecunda	171291		107					GCF_033546915.1-RS_2024_11_18	1	1	Complete Genome	12.11.2023		1
GCF_001945665.1	ASM194566v1	Borreliella mayonii	1674146		MN14-1420					GCF_001945665.1-RS_2025_03_28	16	16	Complete Genome	11.01.2017		16
GCF_002749675.1	ASM274967v1	Mesoplasma entomophilum	2149		TAC					GCF_002749675.1-RS_2024_12_09	1	1	Complete Genome	03.11.2017		1
GCF_002804205.1	ASM280420v1	Entomoplasma freundtii	74700		BARC 318					GCF_002804205.1-RS_2024_12_13	1	1	Complete Genome	04.12.2017		1
GCF_006228185.1	ASM622818v1	Mycoplasma nasistruthionis	353852		2F1A					GCF_006228185.1-RS_2025_03_29	1	1	Complete Genome	11.06.2019		1
GCF_000695835.1	ASM69583v1	Mycoplasmopsis californica	2113		ST-6					GCF_000695835.1-RS_2024_12_13	1	1	Complete Genome	27.05.2014		1
GCF_033546815.1	ASM3354681v1	Metamycoplasma subdolum	92407		TB					GCF_033546815.1-RS_2024_11_18	1	1	Complete Genome	12.11.2023		1
GCF_008704715.1	ASM870471v1	Streptomyces chartreusis	1969		ATCC 14922					GCF_008704715.1-RS_2025_04_23	1	1	Complete Genome	26.09.2019		1
GCF_000242455.2	ASM24245v3	Singulisphaera acidiphila DSM 18658	886293		DSM 18658					GCF_000242455.2-RS_2024_10_11	4	4	Complete Genome	17.12.2012		4
GCF_019397265.1	ASM1939726v1	Nonomuraea coxensis DSM 45129	1122611		DSM 45129					GCF_019397265.1-RS_2025_05_06	1	1	Complete Genome	29.07.2021		1
GCF_000058485.1	ASM5848v1	Frankia alni ACN14a	326424		ACN14a					GCF_000058485.1-RS_2024_08_31	1	1	Complete Genome	03.08.2006		1
GCF_000739085.1	ASM73908v1	Amycolatopsis methanolica 239	1068978		239					GCF_000739085.1-RS_2025_03_28	1	1	Complete Genome	12.08.2014		1
GCF_000758705.1	ASM75870v1	Paenibacillus graminis	189425		DSM 15220					GCF_000758705.1-RS_2025_04_26	1	1	Complete Genome	22.09.2014		1
GCF_034479515.1	ASM3447951v1	Duganella zoogloeoides	75659		ATCC 25935					GCF_034479515.1-RS_2024_12_09	1	1	Complete Genome	19.12.2023		1
GCF_000237305.1	ASM23730v1	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	1003195		NRRL 8057					GCF_000237305.1-RS_2024_12_09	2	2	Complete Genome	24.06.2011		2
GCF_000512205.2	ASM51220v2	Sphingomonas sanxanigenens DSM 19645 = NX02	1123269		NX02					GCF_000512205.2-RS_2025_05_02	2	2	Complete Genome	15.05.2015		2
GCF_019456675.1	ASM1945667v1	Mycolicibacterium pallens	370524		JCM 16370					GCF_019456675.1-RS_2024_06_24	3	3	Complete Genome	06.08.2021		3
GCF_000723165.1	JAG1	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	1349767		DSM 9628					GCF_000723165.1-RS_2025_04_06	1	1	Complete Genome	06.01.2014		1
GCF_900475945.1	48290_E02	Pseudomonas mucidolens	46679		NCTC8068					GCF_900475945.1-RS_2024_12_13	1	1	Complete Genome	17.06.2018		1
GCF_022374875.2	ASM2237487v3	Mycolicibacterium rufum	318424		JCM 16372					GCF_022374875.2-RS_2024_06_24	3	3	Complete Genome	02.09.2022		3
GCF_044358485.1	ASM4435848v1	Gordonia amarae	36821		CON44					GCF_044358485.1-RS_2024_11_05	1	1	Complete Genome	06.11.2024		1
GCF_000145275.1	ASM14527v1	Clostridium cellulovorans 743B	573061		743B					GCF_000145275.1-RS_2025_04_10	1	1	Complete Genome	11.08.2010		1
GCF_000018865.1	ASM1886v1	Chloroflexus aurantiacus J-10-fl	324602		J-10-fl					GCF_000018865.1-RS_2025_04_10	1	1	Complete Genome	20.12.2007		1
GCF_900187015.1	50465_F01	Serratia ficaria	61651		NCTC12148					GCF_900187015.1-RS_2024_12_13	1	1	Complete Genome	15.08.2017		1
GCF_000016425.1	ASM1642v1	Salinispora tropica CNB-440	369723		CNB-440					GCF_000016425.1-RS_2025_03_27	1	1	Complete Genome	17.04.2007		1
GCF_000023825.1	ASM2382v1	Pedobacter heparinus DSM 2366	485917		DSM 2366					GCF_000023825.1-RS_2025_03_28	1	1	Complete Genome	05.08.2009		1
GCF_000281175.1	ASM28117v1	Caldilinea aerophila DSM 14535 = NBRC 104270	926550		DSM 14535					GCF_000281175.1-RS_2024_12_11	1	1	Complete Genome	28.03.2012		1
GCF_016725645.1	ASM1672564v1	Sphingobacterium spiritivorum	258		FDAARGOS_1144					GCF_016725645.1-RS_2024_10_23	2	2	Complete Genome	20.01.2021		2
GCF_000016745.1	ASM1674v1	Geotalea uraniireducens Rf4	351605		Rf4					GCF_000016745.1-RS_2024_12_09	1	1	Complete Genome	11.05.2007		1
GCF_000023465.1	ASM2346v1	Zunongwangia profunda SM-A87	655815		SMA-87					GCF_000023465.1-RS_2024_12_11	1	1	Complete Genome	21.04.2010		1
